City,State,Latitude,Longitude,TenYrSalesDiff
Pocatello,ID,42.8747,-112.4506,21900
Lewiston,ID,46.4187,-117.0167,60600
Des Moines,IA,41.5898,-93.6157,49500
Ames,IA,42.0253,-93.6202,56000
Urban Honolulu,HI,21.3069,-157.8583,185700
Warner Robins,GA,32.6208,-83.6069,20700
LaGrange,GA,33.0414,-85.0311,36300
Hinesville,GA,31.8511,-81.5837,4800
Dalton,GA,34.7615,-84.9722,37100
Columbus,GA,32.4629,-84.9876,2500
Calhoun,GA,34.5052,-84.9509,18100
Augusta,GA,33.4793,-81.9752,55200
Athens,GA,33.9581,-83.3733,39200
Vero Beach,FL,27.6389,-80.3942,76900
Tampa,FL,27.9465,-82.4593,74000
Tallahassee,FL,30.4398,-84.2807,18900
Sebring,FL,27.496,-81.4408,31100
Punta Gorda,FL,26.933,-82.0529,87600
Port St. Lucie,FL,27.2742,-80.3633,98300
Pensacola,FL,30.4208,-87.2172,42400
Orlando,FL,28.5382,-81.3774,89700
Ocala,FL,29.1878,-82.1404,38800
North Port-Sarasota-Bradenton,FL,27.0442,-82.2359,109900
Naples,FL,26.1393,-81.7958,156900
Miami-Fort Lauderdale,FL,26.1224,-80.1373,105800
Melbourne,FL,28.0794,-80.6072,84300
Lakeland,FL,28.0442,-81.9479,78100
Jacksonville,FL,30.3315,-81.6562,2600
Homosassa Springs,FL,28.782,-82.6147,38000
Gainesville,FL,29.652,-82.3228,21600
Fort Myers,FL,26.6408,-81.8681,123100
Daytona Beach,FL,29.2036,-81.0394,65500
Crestview-Fort Walton Beach-Destin,FL,30.7611,-86.6611,82500
Dover,DE,39.158,-75.5247,22500
Washington,DC,38.8904,-77.032,95900
Stamford,CT,41.0518,-73.5422,37400
New Haven,CT,41.3076,-72.9246,-4800
Hartford,CT,41.7635,-72.674,-3400
Pueblo,CO,38.2639,-104.6124,26400
Grand Junction,CO,39.0688,-108.5645,8300
Fort Morgan,CO,40.2546,-103.8015,92700
Durango,CO,37.2737,-107.8793,105200
Denver,CO,39.74,-104.992,222600
Colorado Springs,CO,38.8335,-104.8218,121100
Boulder,CO,40.0157,-105.2792,240700
Yuba City,CA,39.1408,-121.6195,130100
Visalia,CA,36.3338,-119.2929,95000
Ventura,CA,34.2808,-119.2923,256200
Ukiah,CA,39.1509,-123.2079,154600
Truckee,CA,39.3261,-120.2122,90500
Sonora,CA,37.9833,-120.3822,78300
Santa Rosa,CA,38.4379,-122.7124,311500
Santa Maria-Santa Barbara,CA,34.9530,-120.4357,338500
Santa Cruz,CA,36.9741,-122.031,374700
San Luis Obispo,CA,35.2855,-120.6625,204500
San Jose,CA,37.3387,-121.8854,645200
San Francisco,CA,37.7771,-122.4196,466900
San Diego,CA,32.7157,-117.1617,269300
Sacramento,CA,38.5793,-121.4909,212600
Riverside,CA,33.9817,-117.374,176700
Redding,CA,40.5876,-122.3926,45600
Fresno,CA,36.7407,-119.7858,117400
Eureka,CA,40.8033,-124.1595,34000
Clearlake,CA,38.9507,-122.6227,52600
Bakersfield,CA,35.3672,-119.0189,104800
Yuma,AZ,32.6849,-114.6246,11800
Tucson,AZ,32.2216,-110.9698,35600
Sierra Vista,AZ,31.5694,-110.2747,-1400
Prescott,AZ,34.5414,-112.4687,88900
Phoenix,AZ,33.4483,-112.0758,111400
Nogales,AZ,31.3378,-110.9401,45700
Lake Havasu City,AZ,34.474,-114.3459,72300
Flagstaff,AZ,35.1982,-111.6513,46100
Little Rock,AR,34.7487,-92.2749,21100
Fort Smith,AR,35.3846,-94.4213,38200
Fayetteville,AR,36.0632,-94.1579,61000
Fairbanks,AK,64.8451,-147.722,22000
Anchorage,AK,61.2175,-149.8583,4800
